SecurityDomain,Category,SubCategory,ConfigurationId,SecuritySeverity,RiskConsequenceScore_SecuritySeverity,CriticalityTierLevel,RiskProbablityScore_CriticialityTierLevel,Comments
,,,,Very High,4,Critical - tier 0,4,
,,,,Very High,4,High - tier 1,3,
,,,,Very High,4,Medium - tier 2,2,
,,,,Very High,4,Low - tier 3,1,
,,,,High,3,Critical - tier 0,4,
,,,,High,3,High - tier 1,3,
,,,,High,3,Medium - tier 2,2,
,,,,High,3,Low - tier 3,1,
,,,,Medium-High,2,Critical - tier 0,4,
,,,,Medium-High,2,High - tier 1,3,
,,,,Medium-High,2,Medium - tier 2,2,
,,,,Medium-High,2,Low - tier 3,1,
,,,,Medium,1,Low - tier 3,1,
,,,,Medium,1,Low - tier 3,1,
,,,,Medium,1,Low - tier 3,1,
,,,,Medium,1,Low - tier 3,1,
,,,,Low,1,Critical - tier 0,4,
,,,,Low,1,High - tier 1,3,
,,,,Low,1,Medium - tier 2,2,
,,,,Low,1,Low - tier 3,1,
Endpoint,,,,Very High,4,Critical - tier 0,4,
Endpoint,,,,Very High,4,High - tier 1,3,
Endpoint,,,,Very High,4,Medium - tier 2,2,
Endpoint,,,,Very High,4,Low - tier 3,1,
Endpoint,,,,High,3,Critical - tier 0,4,
Endpoint,,,,High,3,High - tier 1,3,
Endpoint,,,,High,3,Medium - tier 2,2,
Endpoint,,,,High,3,Low - tier 3,1,
Endpoint,,,,Medium-High,2,Critical - tier 0,4,
Endpoint,,,,Medium-High,2,High - tier 1,3,
Endpoint,,,,Medium-High,2,Medium - tier 2,2,
Endpoint,,,,Medium-High,2,Low - tier 3,1,
Endpoint,,,,Medium,1,Low - tier 3,1,
Endpoint,,,,Medium,1,Low - tier 3,1,
Endpoint,,,,Medium,1,Low - tier 3,1,
Endpoint,,,,Medium,1,Low - tier 3,1,
Endpoint,,,,Low,1,Critical - tier 0,4,
Endpoint,,,,Low,1,High - tier 1,3,
Endpoint,,,,Low,1,Medium - tier 2,2,
Endpoint,,,,Low,1,Low - tier 3,1,
Endpoint,Security controls,,,Very High,5,Critical - tier 0,4,
Endpoint,Security controls,,,Very High,5,High - tier 1,3,
Endpoint,Security controls,,,Very High,5,Medium - tier 2,2,
Endpoint,Security controls,Antivirus,scid-2014,,5,Critical - tier 0,4,
Endpoint,Security controls,Antivirus,scid-2014,,5,High - tier 1,3,
Endpoint,Security controls,Antivirus,scid-2014,,5,Medium - tier 2,2,
Endpoint,Security controls,Antivirus,scid-2014,,5,Low - tier 3,1,
Endpoint,Security controls,EDR,scid-2002,Very High,4,Critical - tier 0,4,Fix Microsoft Defender for Endpoint impaired communications
Endpoint,Security controls,EDR,scid-2002,Very High,3,High - tier 1,3,Fix Microsoft Defender for Endpoint impaired communications
Endpoint,Security controls,EDR,scid-2002,Very High,2,Medium - tier 2,2,Fix Microsoft Defender for Endpoint impaired communications
Endpoint,Security controls,EDR,scid-2002,Very High,1,Low - tier 3,1,Fix Microsoft Defender for Endpoint impaired communications
Endpoint,Security controls,EDR,scid-2001,Very High,2,Critical - tier 0,1,Fix Microsoft Defender for Endpoint sensor data collection
Endpoint,Security controls,EDR,scid-2001,Very High,2,High - tier 1,1,Fix Microsoft Defender for Endpoint sensor data collection
Endpoint,Security controls,EDR,scid-2001,Very High,2,Medium - tier 2,1,Fix Microsoft Defender for Endpoint sensor data collection
Endpoint,Security controls,EDR,scid-2001,Very High,2,Low - tier 3,1,Fix Microsoft Defender for Endpoint sensor data collection
Endpoint,Security controls,EDR,scid-2000,Very High,2,Critical - tier 0,1,Turn on Microsoft Defender for Endpoint sensor
Endpoint,Security controls,EDR,scid-2000,Very High,2,High - tier 1,1,Turn on Microsoft Defender for Endpoint sensor
Endpoint,Security controls,EDR,scid-2000,Very High,2,Medium - tier 2,1,Turn on Microsoft Defender for Endpoint sensor
Endpoint,Security controls,EDR,scid-2000,Very High,2,Low - tier 3,1,Turn on Microsoft Defender for Endpoint sensor
